entryId,action,beforeTerm,afterTerm,changedFields,before,after,reason,source,confirmedOn,claimScope,history,audio
concept-0001,Relations-only specification retrofit,Temporal Audiovisual Language,Temporal Audiovisual Language,revision / relations / productionImplication / completionScope / contentRevision / claimEvidence / editorialReviewStatus / registryConnectionNote / formulaStatus,"{""term"": ""Temporal Audiovisual Language"", ""jp"": ""時間的視聴覚言語"", ""layer"": ""Cross-Layer"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""時間の流れの中で、音と映像が相互作用して意味を作る言語として捉える。"", ""primer"": ""映像作品で、音・画面・編集の時間的な組み合わせが理解や意味を生む仕組みを扱います。"", ""process"": ""Audio Information と Visual Information を別々に受け取るのではなく、時間軸上で統合し、知覚→認知→意味形成へ進む。"", ""integration"": ""編集、音楽、画面構成、情報提示、人物関係が同時進行で作用する。単なるAudio + Visualではなく、時間的配置によって新しい意味が生成される点が中心。"", ""formation"": ""音と映像を時間軸上で統合し、知覚・認知・意味・娯楽体験を形成する総合言語体系。"", ""publicDefinition"": ""音響と映像の時間的配置を通じ、知覚・時間的認知統合・意味形成・娯楽経験の関係を分析するAlpha 6.0の中核概念。""}","{""term"": ""Temporal Audiovisual Language"", ""jp"": ""時間的視聴覚言語"", ""layer"": ""Cross-Layer"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""時間の流れの中で、音と映像が相互作用して意味を作る言語として捉える。"", ""primer"": ""映像作品で、音・画面・編集の時間的な組み合わせが理解や意味を生む仕組みを扱います。"", ""process"": ""Audio Information と Visual Information を別々に受け取るのではなく、時間軸上で統合し、知覚→認知→意味形成へ進む。"", ""integration"": ""編集、音楽、画面構成、情報提示、人物関係が同時進行で作用する。単なるAudio + Visualではなく、時間的配置によって新しい意味が生成される点が中心。"", ""formation"": ""音と映像を時間軸上で統合し、知覚・認知・意味・娯楽体験を形成する総合言語体系。"", ""publicDefinition"": ""音響と映像の時間的配置を通じ、知覚・時間的認知統合・意味形成・娯楽経験の関係を分析するAlpha 6.0の中核概念。""}",現行の分析参照は4-Layer / 8-Index Core、別枠Layer +1のE9/E10、独立Outcome CTIへ分かれる。時間的な意味形成の概念と、この評価配置や候補連鎖を同一の計算式にしない。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Editorial / retained public proposal,v0.151 unchanged where present; full public v0.2 snapshot retained,Preserved exact object/base64
concept-0002,Core synchronisation retrofit,Knowledge Architecture,Knowledge Architecture,category / status / layer / process / integration / formation / publicDefinition / primer / statuses / revision / provenance / relations / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / frameworkEvolution / boundarySummary / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Knowledge Architecture"", ""jp"": ""知識構造"", ""layer"": ""Historical: L1"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""作品が『何を知る世界として組み立てるか』を見る。"", ""primer"": ""作品世界について何が分かり、どんな因果関係を理解できるかを整理する層です。"", ""process"": ""物語と情報を追いながら、世界・制度・因果・人物関係について視聴者内部に知識モデルを形成する。"", ""integration"": ""Narrative Architecture と Information Architecture が組み合わさり、視聴者が作品世界を理解するための知識基盤を作る。"", ""formation"": ""物語と情報設計によって、視聴者の中に作品世界の知識モデルを構築する層。"", ""publicDefinition"": ""物語と情報設計によって、視聴者の中に作品世界の知識モデルを構築する層。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Knowledge Architecture"", ""jp"": ""知識構造"", ""layer"": ""L1"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""作品が『何を知る世界として組み立てるか』を見る。"", ""primer"": ""Illustrative Example：同じ事件でも情報の順序と人物のつながりで世界の理解が変わる。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：世界の事実・規則と提示された情報を分ける → 物語の関係構成と情報の配分を対応づける → どんな知識像が成立するか示す → 理解の制御過程を扱うL2と分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""L1はCore25%。E1が層内55%、E2が45%。Architectureは知識の組織を問う名称で、情報量の多さや高いLevelを意味しない。PDFに総合式はない。"", ""formation"": ""物語と情報の構成がどんな世界・関係の知識を成立させるかを扱うCore層。認知過程や意味の評価と分け、明示された配分以上の計算を追加しない。"", ""publicDefinition"": ""物語と情報の構成がどんな世界・関係の知識を成立させるかを扱うCore層。認知過程や意味の評価と分け、明示された配分以上の計算を追加しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Preserved exact object/base64
concept-0003,Core synchronisation retrofit,Cognitive Architecture,Cognitive Architecture,category / status / layer / process / integration / formation / publicDefinition / primer / statuses / revision / provenance / relations / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / frameworkEvolution / boundarySummary / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Cognitive Architecture"", ""jp"": ""認知構造"", ""layer"": ""Historical: L2"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""視聴者が『どう理解させられるか』を見る。"", ""primer"": ""同じ情報でも、見せる順序や再提示によって理解が変わることに注目する層です。"", ""process"": ""編集順序・反復・省略・再視聴による情報再発見を通じ、理解の仕方そのものが設計される。"", ""integration"": ""Editing Intelligence と Rewatch Information Density が、情報の順序・遅延・再解釈を制御し、認知形成を方向づける。"", ""formation"": ""時間的編集と再読性によって、視聴者の理解の仕方を設計する層。"", ""publicDefinition"": ""時間的編集と再読性によって、視聴者の理解の仕方を設計する層。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Cognitive Architecture"", ""jp"": ""認知構造"", ""layer"": ""L2"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""視聴者が『どう理解させられるか』を見る。"", ""primer"": ""Illustrative Example：切替の順序で誤った予測を持ち、後から修正する。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：受け手が追う注意・推測・更新の順序を記述 → 編集がその順序をどう制御するか特定 → 再視聴時の追加理解を別に観察 → 知識内容と認知の進み方を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""L2はCore25%、E3が層内60%、E4が40%。認知の働きを問う層であり、脳機構の実証モデルでもLayer +1の新可能性でもない。"", ""formation"": ""表現が理解の進行と再接触時の情報の読みをどう組織するかを扱うCore層。伝達内容の多さや実測された心理機構と混同しない。"", ""publicDefinition"": ""表現が理解の進行と再接触時の情報の読みをどう組織するかを扱うCore層。伝達内容の多さや実測された心理機構と混同しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Preserved exact object/base64
concept-0004,Core synchronisation retrofit,Empathic-Emotional Architecture,Empathic-Emotional Architecture,jp / category / status / layer / process / integration / formation / publicDefinition / primer / statuses / revision / provenance / relations / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / frameworkEvolution / boundarySummary / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Empathic-Emotional Architecture"", ""jp"": ""共感・情動構造"", ""layer"": ""Historical: L3"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""『誰の世界を内側から理解し、どの情動で経験するか』を見る。"", ""primer"": ""人物の立場を理解することと、その理解を感情として経験することを扱う層です。"", ""process"": ""人物間の視点取得と、音楽・演技・映像・編集による情動誘導を同時に処理する。"", ""integration"": ""Empathic Network Complexity が視点の複数性を作り、Musical-Cognitive Integration が時間的情動経験を形成する。"", ""formation"": ""複数人物の内的世界を理解させ、その理解を情動経験へ変換する層。"", ""publicDefinition"": ""複数人物の内的世界を理解させ、その理解を情動経験へ変換する層。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Empathic-Emotional Architecture"", ""jp"": ""共感構造＋情動構造"", ""layer"": ""L3"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""『誰の世界を内側から理解し、どの情動で経験するか』を見る。"", ""primer"": ""Illustrative Example：対立する二人の心情が異なる音楽と視点で示される。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：誰の状況がどの視点から分かるか記録 → 音楽と表現が共感・情動をどう関係づけるか読む → 情動の強さと複数視点の接続を分ける → 一時反応とOutcomeを区別する。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""L3はCore25%、E5が層内40%、E6が60%。共感構造＋情動構造という正式表示を保持する。強く泣いたこととCTIの認知変容は別である。"", ""formation"": ""共感と情動が音楽・視点の関係によってどう構成されるかを扱うCore層。感情の強さや観客の後の変化へ還元しない。"", ""publicDefinition"": ""共感と情動が音楽・視点の関係によってどう構成されるかを扱うCore層。感情の強さや観客の後の変化へ還元しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Preserved exact object/base64
concept-0005,Core synchronisation retrofit,Meaning Architecture,Meaning Architecture,category / status / layer / process / integration / formation / publicDefinition / primer / statuses / revision / provenance / relations / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / frameworkEvolution / boundarySummary / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Meaning Architecture"", ""jp"": ""意味構造"", ""layer"": ""Historical: L4"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""作品の各要素が最終的に『何を意味する構造になったか』を見る。"", ""primer"": ""物語・映像・音楽・共感が、作品全体の意味へどうつながるかを扱う層です。"", ""process"": ""視覚的意味、物語情報、認知、共感、時間的経験を統合し、単独要素を超える意味を形成する。"", ""integration"": ""Visual Semantics と Semantic Integration が中心となり、他Layerの成果を意味へ統合する。"", ""formation"": ""視覚・認知・共感・情報を統合し、作品全体の意味生成を成立させる層。"", ""publicDefinition"": ""視覚・認知・共感・情報を統合し、作品全体の意味生成を成立させる層。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Meaning Architecture"", ""jp"": ""意味構造"", ""layer"": ""L4"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""作品の各要素が最終的に『何を意味する構造になったか』を見る。"", ""primer"": ""Illustrative Example：同じ場所の音と映像が終盤で別の意味へつながる。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：要素が運ぶ意味を個別に拾う → 全体で意味がどう結ばれるか調べる → 音響・映像の局所的意味と全体統合を分ける → 一つの解釈への閉鎖を前提にしない。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""L4はCore25%、E7が層内40%、E8が60%。意味は台詞の主張だけでなく音・映像の作用を含む。Semantic Opennessと意味統合は両立し得る。"", ""formation"": ""音響・映像の意味作用と全体の統合が意味の構造をどう作るかを扱うCore層。教訓の明快さや唯一解の有無へ還元しない。"", ""publicDefinition"": ""音響・映像の意味作用と全体の統合が意味の構造をどう作るかを扱うCore層。教訓の明快さや唯一解の有無へ還元しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Preserved exact object/base64
concept-0006,Rename and retrofit,Narrative Architecture,Narrative Architecture Index,term / jp / category / status / layer / process / integration / formation / publicDefinition / ipa / primer / speechText / statuses / revision / provenance / relations / audio / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / audioStatus / frameworkEvolution / boundarySummary / previousTerm / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Narrative Architecture"", ""jp"": ""物語構造"", ""layer"": ""Historical: E1 / L1"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""筋書きの面白さではなく、物語が知識・因果・人物・意味をどう組織するかを見る。"", ""primer"": ""出来事の順番や人物の視点を、世界を理解させるための設計として評価します。"", ""process"": ""出来事の順序、因果、視点、伏線、情報開示の配置を追い、物語が認知モデルをどう構築するかを判断する。"", ""integration"": ""Information Architecture、Editing Intelligence、Semantic Integrationと接続し、単独のPlot評価を避ける。"", ""formation"": ""物語を、視聴者の知識と意味形成を組織する構造として評価するElement。"", ""publicDefinition"": ""物語を、視聴者の知識と意味形成を組織する構造として評価するElement。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Narrative Architecture Index"", ""jp"": ""物語構造指数"", ""layer"": ""E1 / L1"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""筋書きの面白さではなく、物語が知識・因果・人物・意味をどう組織するかを見る。"", ""primer"": ""Illustrative Example：同じ事件を親子の二世代に配置し、選択の反復を読ませる。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：出来事・人物・時間の配置を図式化 → 接続や順序が何を理解可能にするか読む → 情報開示の操作を別に分ける → 物語の組織として根拠を残す。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""E1はL1内55%のCore指標。E2は情報の配分、E1は物語関係の構成を問う。直線的な順序でも組織は成立し、複雑さだけを高得点にしない。"", ""formation"": ""出来事・人物・時間が物語としてどんな関係を形づくるかを扱う正式指標。情報の隠し方や事件数だけに還元しない。"", ""publicDefinition"": ""出来事・人物・時間が物語としてどんな関係を形づくるかを扱う正式指標。情報の隠し方や事件数だけに還元しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Current name generated with Samantha; former name retained in Historical Pronunciation
concept-0007,Rename and retrofit,Information Architecture,Information Architecture Index,term / jp / category / status / layer / process / integration / formation / publicDefinition / ipa / primer / speechText / statuses / revision / provenance / relations / audio / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / audioStatus / frameworkEvolution / boundarySummary / previousTerm / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Information Architecture"", ""jp"": ""情報構造"", ""layer"": ""Historical: E2 / L1"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""作品が『何を、いつ、どれだけ、どの形で知らせるか』を見る。"", ""primer"": ""情報の多さだけでなく、知らせる内容とタイミングが理解にどう働くかを評価します。"", ""process"": ""提示・保留・再提示・誤認・背景情報の密度を追い、視聴者の理解モデルがどう更新されるかを見る。"", ""integration"": ""Narrative、Editing、Rewatch Densityと結びつき、情報量ではなく情報設計を評価する。"", ""formation"": ""視聴者の知識状態を時間的に制御する情報設計Element。"", ""publicDefinition"": ""視聴者の知識状態を時間的に制御する情報設計Element。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Information Architecture Index"", ""jp"": ""情報構造指数"", ""layer"": ""E2 / L1"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""作品が『何を、いつ、どれだけ、どの形で知らせるか』を見る。"", ""primer"": ""Illustrative Example：視聴者だけが手紙の存在を知り、人物は知らない。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：何を誰にいつ示すか記録 → 非提示・重複・遅延を区別 → 各時点で受け手が推測できる範囲を読む → 物語自体の関係と提示の設計を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""E2はL1内45%のCore指標。E1と協働するが、情報配分と出来事の構成は異なる問い。謎が多いことと配分の適切さは同じではない。"", ""formation"": ""情報の選択・配置・開示が受け手の知識像をどう組織するかを扱う指標。隠す量でなく各時点の理解可能性を示す。"", ""publicDefinition"": ""情報の選択・配置・開示が受け手の知識像をどう組織するかを扱う指標。隠す量でなく各時点の理解可能性を示す。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Current name generated with Samantha; former name retained in Historical Pronunciation
concept-0008,Rename and retrofit,Editing Intelligence,Editing Intelligence Index,term / jp / category / status / layer / process / integration / formation / publicDefinition / ipa / primer / speechText / statuses / revision / provenance / relations / audio / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / audioStatus / frameworkEvolution / boundarySummary / previousTerm / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Editing Intelligence"", ""jp"": ""編集知性"", ""layer"": ""Historical: E3 / L2"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""編集を『切り方』ではなく、視聴者の理解を時間軸上で制御する知的設計として見る。"", ""primer"": ""ショットのつなぎ方や間が、視聴者の注意・予測・理解をどう動かすかを評価します。"", ""process"": ""ショット順、間、情報遅延、並列化、反復、視線誘導が認知にどう作用するかを追う。"", ""integration"": ""Temporal Audiovisual Languageの時間制御中枢。Information Architecture、Music、Visual Semanticsと強く相互作用する。"", ""formation"": ""時間的配置によって視聴者の注意・理解・予測を設計するElement。"", ""publicDefinition"": ""時間的配置によって視聴者の注意・理解・予測を設計するElement。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Editing Intelligence Index"", ""jp"": ""編集による認知制御力"", ""layer"": ""E3 / L2"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""編集を『切り方』ではなく、視聴者の理解を時間軸上で制御する知的設計として見る。"", ""primer"": ""Illustrative Example：答えを示す映像を一拍遅らせ、観客に先に推測させる。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：切替・持続・省略・順序を拾う → 操作の直前と直後の予測を比べる → 認知上の変化を特定 → 速さや派手さだけの効果を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""E3はL2内60%のCore指標。正式日本語は編集による認知制御力。編集技術の熟練一般やカット数とは違い、理解の経路に対する働きを問う。"", ""formation"": ""編集の時間操作が注意・予測・理解の更新をどう制御するかを扱う指標。操作の種類と認知上の差を結び、速度で代用しない。"", ""publicDefinition"": ""編集の時間操作が注意・予測・理解の更新をどう制御するかを扱う指標。操作の種類と認知上の差を結び、速度で代用しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Current name generated with Samantha; former name retained in Historical Pronunciation
concept-0009,Rename and retrofit,Rewatch Information Density,Rewatch Information Density Index,term / jp / category / status / layer / process / integration / formation / publicDefinition / ipa / primer / speechText / statuses / revision / provenance / relations / audio / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / audioStatus / frameworkEvolution / boundarySummary / previousTerm / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Rewatch Information Density"", ""jp"": ""再視聴情報密度"", ""layer"": ""Historical: E4 / L2"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""二度目以降の視聴で新しい情報関係が見える度合いを見る。"", ""primer"": ""結末を知って見直したとき、以前の場面に新しい関係や意味が見えるかを評価します。"", ""process"": ""初見時に背景化していた情報が、結末や後続情報を得た後に再解釈されるかを確認する。"", ""integration"": ""Narrative、Information、Editing、Semantic Integrationが蓄積した潜在情報を再視聴で再活性化する。"", ""formation"": ""再視聴によって理解と意味が更新される情報密度を評価するElement。"", ""publicDefinition"": ""再視聴によって理解と意味が更新される情報密度を評価するElement。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Rewatch Information Density Index"", ""jp"": ""再視聴情報密度指数"", ""layer"": ""E4 / L2"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""二度目以降の視聴で新しい情報関係が見える度合いを見る。"", ""primer"": ""Illustrative Example：結末を知って見直すと、序盤の視線が別の人物を指していたと読める。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：初見時に利用した情報を記録 → 再視聴で新しく意味を得た手がかりを特定 → 既知の結末に依存する読みを分ける → 再生回数と再発見の関係を区別する。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""E4はL2内40%。初見の後続情報で先行場面を更新するBackward Linkとは視聴条件が異なる。繰り返し見た事実や長さで密度を代用しない。"", ""formation"": ""再視聴により新たな情報関係が読める働きを扱う正式指標。初見中の更新と再視聴の再発見を分け、回数を得点に変えない。"", ""publicDefinition"": ""再視聴により新たな情報関係が読める働きを扱う正式指標。初見中の更新と再視聴の再発見を分け、回数を得点に変えない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Current name generated with Samantha; former name retained in Historical Pronunciation
concept-0010,Rename and retrofit,Musical-Cognitive Integration,Musical-Cognitive Integration Index,term / jp / category / status / layer / process / integration / formation / publicDefinition / ipa / primer / speechText / statuses / revision / provenance / relations / audio / group / frameworkStatus / frameworkIntroducedIn / frameworkRevisedIn / frameworkRole / operationalUse / evidenceStatus / productionImplication / evidence / aliases / audioStatus / frameworkEvolution / boundarySummary / previousTerm / canonicalRegistryId / structuralRole / claimEvidence / completionScope / contentRevision / checks / recognitionDelta / etymologicalGenesis / formalDefinitionSource / editorialReviewStatus / formulaStatus,"{""term"": ""Musical-Cognitive Integration"", ""jp"": ""音楽・認知統合"", ""layer"": ""Historical: E5 / L3"", ""frameworkStatus"": ""Alpha 6.0 Operational"", ""guidance"": ""音楽が感情を飾るだけでなく、理解・記憶・予測をどう形成するかを見る。"", ""primer"": ""音楽の反復や無音が、人物の理解・記憶・予測に参加しているかを評価します。"", ""process"": ""主題、反復、音色、無音、タイミングが人物・場所・出来事の認識と結びつく過程を追う。"", ""integration"": ""Empathy、Editing、Temporal Audio Language Spaceと結びつき、情動と認知を同時に制御する。"", ""formation"": ""音楽を、情動だけでなく認知形成に参加する時間的意味装置として評価するElement。"", ""publicDefinition"": ""音楽を、情動だけでなく認知形成に参加する時間的意味装置として評価するElement。 現行Alpha 6.0における正式名称・帰属の確認は別途必要。""}","{""term"": ""Musical-Cognitive Integration Index"", ""jp"": ""音楽統合指数+認知統合指数"", ""layer"": ""E5 / L3"", ""frameworkStatus"": ""Alpha 6.0 Core"", ""guidance"": ""音楽が感情を飾るだけでなく、理解・記憶・予測をどう形成するかを見る。"", ""primer"": ""Illustrative Example：同じ旋律の変化により、人物の関係が変わったと分かる。 この場合に何を区別でき、何はまだ言えないかを考える。"", ""process"": ""Operational Recognition Route：音楽の反復・変化・入り方を記録 → 注意・予測・人物理解と対応づける → 情動の増幅だけの箇所を区別 → 他要素と結ばれて生まれる読みを示す。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。"", ""integration"": ""E5はL3内40%の一指標。日本語の音楽統合指数+認知統合指数は二指標への分割を意味しない。美しい曲、強い感情、音響一般のE7と分ける。"", ""formation"": ""音楽が認知と結びついて共感・情動の構成を支える働きを扱う一つの正式指標。音楽の好みや感動の強さだけで判断しない。"", ""publicDefinition"": ""音楽が認知と結びついて共感・情動の構成を支える働きを扱う一つの正式指標。音楽の好みや感動の強さだけで判断しない。""}",PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,Anime:JudgementSystem.pdf p.1 + Work Prompt + v0.2 Public baseline,"2026-09-16 (receipt/inspection, not framework establishment)",Label/placement/explicit weights source-confirmed; concept-specific explanation editorial,v0.151 unchanged where present; full public v0.2 snapshot retained,Current name generated with Samantha; former name retained in Historical Pronunciation
