classification,location,match,context
A,DB.version,1.751,1.751
B,DB.entries[1].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[2].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[3].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[4].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[5].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[8].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[13].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[14].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[15].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[16].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[17].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[18].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[20].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[21].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[22].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[23].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[24].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[25].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[26].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[27].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[27].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[27].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[27].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[27].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Concept / Label
B,DB.entries[27].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Concept / Label
B,DB.entries[28].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[28].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[28].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[28].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[28].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Design / Styling
B,DB.entries[28].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Design / Styling
B,DB.entries[29].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[29].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[29].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[29].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[29].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Architecture / Structure
B,DB.entries[29].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Architecture / Structure
B,DB.entries[30].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[30].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[30].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[30].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[30].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Structure / System
B,DB.entries[30].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Structure / System
B,DB.entries[31].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[31].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[31].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[31].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[31].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · System / Structure
B,DB.entries[31].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · System / Structure
B,DB.entries[32].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[32].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[32].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[32].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[32].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Function / Purpose
B,DB.entries[32].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Function / Purpose
B,DB.entries[33].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[33].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[33].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[33].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[33].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Form / Shape
B,DB.entries[33].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Form / Shape
B,DB.entries[33].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[34].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[34].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[34].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[34].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[34].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Shape / Form
B,DB.entries[34].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Shape / Form
