entryId,term,scope,beforeIssue,changedStages,conceptSpecificProcess,recognitionDelta,primaryBoundary,transferTestId,sourceStatus,editorialReviewStatus,remainingGap
concept-0001,Temporal Audiovisual Language,Relations-only specification retrofit,現行の分析参照は4-Layer / 8-Index Core、別枠Layer +1のE9/E10、独立Outcome CTIへ分かれる。時間的な意味形成の概念と、この評価配置や候補連鎖を同一の計算式にしない。,None; existing five stages preserved,Audio Information と Visual Information を別々に受け取るのではなく、時間軸上で統合し、知覚→認知→意味形成へ進む。,現行の分析参照は4-Layer / 8-Index Core、別枠Layer +1のE9/E10、独立Outcome CTIへ分かれる。時間的な意味形成の概念と、この評価配置や候補連鎖を同一の計算式にしない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0002,Knowledge Architecture,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：世界の事実・規則と提示された情報を分ける → 物語の関係構成と情報の配分を対応づける → どんな知識像が成立するか示す → 理解の制御過程を扱うL2と分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「作品が『何を知る世界として組み立てるか』を見る。」。到達点では「物語と情報の構成がどんな世界・関係の知識を成立させるかを扱うCore層。認知過程や意味の評価と分け、明示された配分以上の計算を追加しない。」として、情報量だけでは関係の組織を示せない。という誤用を区別できる。,情報量だけでは関係の組織を示せない。,concept-0002-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0003,Cognitive Architecture,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：受け手が追う注意・推測・更新の順序を記述 → 編集がその順序をどう制御するか特定 → 再視聴時の追加理解を別に観察 → 知識内容と認知の進み方を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「視聴者が『どう理解させられるか』を見る。」。到達点では「表現が理解の進行と再接触時の情報の読みをどう組織するかを扱うCore層。伝達内容の多さや実測された心理機構と混同しない。」として、知識内容の複雑さと理解過程の設計は別。という誤用を区別できる。,知識内容の複雑さと理解過程の設計は別。,concept-0003-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0004,Empathic-Emotional Architecture,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：誰の状況がどの視点から分かるか記録 → 音楽と表現が共感・情動をどう関係づけるか読む → 情動の強さと複数視点の接続を分ける → 一時反応とOutcomeを区別する。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「『誰の世界を内側から理解し、どの情動で経験するか』を見る。」。到達点では「共感と情動が音楽・視点の関係によってどう構成されるかを扱うCore層。感情の強さや観客の後の変化へ還元しない。」として、情動反応と認知の再構成を混同している。という誤用を区別できる。,情動反応と認知の再構成を混同している。,concept-0004-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0005,Meaning Architecture,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：要素が運ぶ意味を個別に拾う → 全体で意味がどう結ばれるか調べる → 音響・映像の局所的意味と全体統合を分ける → 一つの解釈への閉鎖を前提にしない。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「作品の各要素が最終的に『何を意味する構造になったか』を見る。」。到達点では「音響・映像の意味作用と全体の統合が意味の構造をどう作るかを扱うCore層。教訓の明快さや唯一解の有無へ還元しない。」として、複数解釈でも手がかりと関係が組織されている場合がある。という誤用を区別できる。,複数解釈でも手がかりと関係が組織されている場合がある。,concept-0005-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0006,Narrative Architecture Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：出来事・人物・時間の配置を図式化 → 接続や順序が何を理解可能にするか読む → 情報開示の操作を別に分ける → 物語の組織として根拠を残す。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「筋書きの面白さではなく、物語が知識・因果・人物・意味をどう組織するかを見る。」。到達点では「出来事・人物・時間が物語としてどんな関係を形づくるかを扱う正式指標。情報の隠し方や事件数だけに還元しない。」として、非線形という形式だけでは働きや寄与が分からない。という誤用を区別できる。,非線形という形式だけでは働きや寄与が分からない。,concept-0006-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0007,Information Architecture Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：何を誰にいつ示すか記録 → 非提示・重複・遅延を区別 → 各時点で受け手が推測できる範囲を読む → 物語自体の関係と提示の設計を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「作品が『何を、いつ、どれだけ、どの形で知らせるか』を見る。」。到達点では「情報の選択・配置・開示が受け手の知識像をどう組織するかを扱う指標。隠す量でなく各時点の理解可能性を示す。」として、不明点が増えるだけの場合もあり、推測の根拠と配置を調べる。という誤用を区別できる。,不明点が増えるだけの場合もあり、推測の根拠と配置を調べる。,concept-0007-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0008,Editing Intelligence Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：切替・持続・省略・順序を拾う → 操作の直前と直後の予測を比べる → 認知上の変化を特定 → 速さや派手さだけの効果を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「編集を『切り方』ではなく、視聴者の理解を時間軸上で制御する知的設計として見る。」。到達点では「編集の時間操作が注意・予測・理解の更新をどう制御するかを扱う指標。操作の種類と認知上の差を結び、速度で代用しない。」として、頻度だけでは理解の制御を示せない。という誤用を区別できる。,頻度だけでは理解の制御を示せない。,concept-0008-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0009,Rewatch Information Density Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：初見時に利用した情報を記録 → 再視聴で新しく意味を得た手がかりを特定 → 既知の結末に依存する読みを分ける → 再生回数と再発見の関係を区別する。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「二度目以降の視聴で新しい情報関係が見える度合いを見る。」。到達点では「再視聴により新たな情報関係が読める働きを扱う正式指標。初見中の更新と再視聴の再発見を分け、回数を得点に変えない。」として、初見中の更新であり、E4の再視聴条件とは区別する。という誤用を区別できる。,初見中の更新であり、E4の再視聴条件とは区別する。,concept-0009-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0010,Musical-Cognitive Integration Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：音楽の反復・変化・入り方を記録 → 注意・予測・人物理解と対応づける → 情動の増幅だけの箇所を区別 → 他要素と結ばれて生まれる読みを示す。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「音楽が感情を飾るだけでなく、理解・記憶・予測をどう形成するかを見る。」。到達点では「音楽が認知と結びついて共感・情動の構成を支える働きを扱う一つの正式指標。音楽の好みや感動の強さだけで判断しない。」として、PDFはE5を一指標としている。名称から新しい配点を作らない。という誤用を区別できる。,PDFはE5を一指標としている。名称から新しい配点を作らない。,concept-0010-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
